type,edftype,latency,urevent,duration,endtime,sac_amplitude,sac_endpos_x,sac_endpos_y,sac_startpos_x,sac_startpos_y,sac_vmax,fix_avgpos_x,fix_avgpos_y,fix_avgpupilsize,sac_angle,trial,phase,mss,ontarget,ondistractor,present,correct,stm,inrange,bad,multi,rank,refix,scrank
fixation,0.0,64227.0,21197.0,82,0.0,3.23963801503072,745.190185546875,520.592956542969,924.596069335938,519.697814941406,163.927193221424,742.820068359375,512.458251953125,0.0,178.995269714058,1.0,vs,1.0,False,True,True,True,motorcycle854.png,True,False,0.0,2.0,1.0,0.0
fixation,0.0,64334.0,21198.0,122,0.0,4.68491626898193,486.606536865234,555.79150390625,738.286010742188,514.897583007812,237.294612921897,472.704925537109,537.479187011719,0.0,170.411621527552,1.0,vs,1.0,False,True,True,True,motorcycle548.png,True,False,0.0,3.0,1.0,0.05
fixation,0.0,64488.0,21199.0,59,0.0,8.6072042220459,594.896301269531,86.6175308227539,470.409515380859,537.579223632812,265.754341992674,597.645935058594,64.4653549194336,0.0,-74.6742259693176,1.0,vs,1.0,False,True,True,True,motorcycle1022.png,True,False,1.0,4.0,1.0,0.1
fixation,0.0,64556.0,21200.0,150,0.0,1.26486850364433,619.911437988281,141.280227661133,607.088745117188,66.340934753418,99.6580894064029,615.664978027344,118.90217590332,0.0,79.3641716598049,1.0,vs,1.0,False,True,True,True,motorcycle1022.png,True,False,2.0,5.0,1.0,0.15
fixation,0.0,64739.0,21201.0,73,0.0,10.4304157451172,1185.69860839844,59.6217498779297,620.922119140625,117.279197692871,343.584686123889,1212.171875,75.0454940795898,0.0,-5.85683043733846,1.0,vs,1.0,False,True,True,True,motorcycle925.png,True,False,0.0,6.0,0.0,0.2
fixation,0.0,65606.0,21203.0,79,0.0,4.81232555103887,730.334411621094,505.805725097656,993.871643066406,530.271667480469,242.637008635278,729.975830078125,496.737030029297,0.0,-174.986026576548,1.0,vs,1.0,False,True,True,True,motorcycle854.png,True,False,0.0,8.0,2.0,0.3
fixation,0.0,65706.0,21204.0,135,0.0,4.14551944360351,498.196960449219,557.84521484375,711.8369140625,485.618011474609,267.266619691546,477.521942138672,545.343200683594,0.0,161.365637028517,1.0,vs,1.0,False,True,True,True,motorcycle548.png,True,False,0.0,9.0,2.0,0.35
fixation,0.0,65873.0,21205.0,69,0.0,9.96667318603516,981.299987792969,363.246673583984,472.16552734375,552.386901855469,348.293055478211,999.466247558594,376.543640136719,0.0,-20.1681928264974,1.0,vs,1.0,False,True,True,True,motorcycle229.png,True,False,1.0,10.0,0.0,0.4
fixation,0.0,65949.0,21206.0,112,0.0,0.430444648625767,978.779235839844,372.041076660156,1006.71716308594,372.896545410156,36.4327689283235,976.770629882812,373.560333251953,0.0,179.342858643192,1.0,vs,1.0,False,True,True,True,motorcycle229.png,True,False,2.0,11.0,0.0,0.45
fixation,0.0,66108.0,21207.0,49,0.0,12.386061814209,489.64013671875,851.200012207031,972.443908691406,376.498779296875,554.527024119587,482.113677978516,846.513610839844,0.0,135.587751780081,1.0,vs,1.0,True,False,True,True,motorcycle232.png,True,False,1.0,12.0,0.0,0.5
fixation,0.0,66165.0,21208.0,106,0.0,0.926688422119346,466.676940917969,890.057739257812,478.780883789062,838.357360839844,75.8046516506418,459.811920166016,874.713745117188,0.0,102.130370943076,1.0,vs,1.0,True,False,True,True,motorcycle232.png,True,False,2.0,13.0,0.0,0.55
fixation,0.0,66300.0,21209.0,63,0.0,4.95325747290039,723.2041015625,957.953002929688,466.652313232422,874.448303222656,269.947577859039,739.720764160156,970.051513671875,0.0,17.3931159950252,1.0,vs,1.0,False,True,True,True,motorcycle577.png,True,False,0.0,14.0,0.0,0.6
fixation,0.0,66474.0,21211.0,93,0.0,1.42138705469019,1427.07885742188,898.138671875,1365.07409667969,844.391540527344,90.5777975543595,1425.06372070312,879.185241699219,0.0,40.9775840698332,1.0,vs,1.0,False,True,True,True,motorcycle547.png,True,False,0.0,16.0,0.0,0.7
fixation,0.0,66594.0,21212.0,80,0.0,3.99371340894424,1419.25415039062,656.163269042969,1415.43627929688,875.136596679688,172.608303525819,1415.15661621094,657.594421386719,0.0,-88.846838827034,1.0,vs,1.0,False,True,True,True,motorcycle228.png,True,False,1.0,17.0,0.0,0.75
fixation,0.0,66682.0,21213.0,77,0.0,0.484967312981229,1397.30041503906,624.528442382812,1409.00939941406,652.61572265625,42.2859936712318,1390.27734375,630.756774902344,0.0,-110.91633104382,1.0,vs,1.0,False,True,True,True,motorcycle228.png,True,False,2.0,18.0,0.0,0.8
fixation,0.0,66904.0,21215.0,83,0.0,2.91320533145465,618.471801757812,90.2076797485352,636.249145507812,247.798324584961,155.700736148663,628.953491210938,91.5673141479492,0.0,-95.9265604513924,1.0,vs,1.0,False,True,True,True,motorcycle1022.png,True,False,0.0,20.0,2.0,0.9
fixation,0.0,67014.0,21216.0,153,0.0,6.67871633898926,402.226593017578,377.214904785156,616.547302246094,85.2474365234375,344.955387082625,388.697479248047,380.183959960938,0.0,126.019230488783,1.0,vs,1.0,False,True,True,True,motorcycle197.png,True,False,1.0,21.0,0.0,0.95
fixation,0.0,67174.0,21217.0,167,0.0,0.558652942824167,429.683959960938,367.305603027344,394.139587402344,371.944152832031,53.1834832913046,417.585601806641,376.7314453125,0.0,-7.24890067191052,1.0,vs,1.0,False,True,True,True,motorcycle197.png,True,False,2.0,22.0,0.0,1.0
fixation,0.0,71453.0,21230.0,148,0.0,7.11079679220039,1297.08264160156,373.0,939.772827148438,520.222045898438,251.727655686924,1300.73059082031,365.680847167969,0.0,-22.5645133075608,2.0,vs,1.0,False,True,True,False,cake1970.png,True,False,0.0,1.0,1.0,0.0
fixation,0.0,71629.0,21231.0,116,0.0,9.30464848613178,814.693176269531,205.799728393555,1297.03344726562,367.206878662109,259.097004839804,798.682922363281,197.418807983398,0.0,-161.688024329739,2.0,vs,1.0,False,True,True,False,cake1210.png,True,False,0.0,2.0,1.0,0.05
fixation,0.0,71767.0,21232.0,96,0.0,4.93944452555255,511.609710693359,279.700012207031,773.196716308594,199.100006103516,221.529138767825,509.049224853516,280.715972900391,0.0,162.927316673116,2.0,vs,1.0,False,True,True,False,cake1181.png,True,False,0.0,3.0,0.0,0.1
fixation,0.0,71896.0,21233.0,53,0.0,5.83065182202148,507.379608154297,600.972351074219,508.558715820312,285.206359863281,222.424127742989,504.308441162109,604.25634765625,0.0,90.4791129539979,2.0,vs,1.0,False,True,True,False,cake815.png,True,False,0.0,4.0,1.0,0.15
fixation,0.0,71959.0,21234.0,60,0.0,1.50752979077025,425.888580322266,656.163269042969,496.247009277344,611.25830078125,108.01510738361,429.088256835938,645.930969238281,0.0,145.385005115517,2.0,vs,1.0,False,True,True,False,cake1242.png,True,False,0.0,5.0,0.0,0.2
fixation,0.0,72041.0,21235.0,133,0.0,9.68034202316088,932.65625,486.198486328125,424.980560302734,646.984191894531,393.568306022988,947.690673828125,513.119506835938,0.0,-17.5921869574342,2.0,vs,1.0,False,True,True,False,donut523.png,True,False,0.0,6.0,0.0,0.25
fixation,0.0,72196.0,21236.0,76,0.0,4.6423733012085,843.143005371094,744.65771484375,961.856811523438,521.957397460938,325.540895193536,831.800598144531,756.745971679688,0.0,117.6785586442,2.0,vs,1.0,False,True,True,False,cake1023.png,True,False,0.0,7.0,1.0,0.3
